SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,SENT_LETTER
PAST SALE,11/19/2024,Single Family Residential,9867 N Kimball Canyon Rd,Park City,UT,84098,,8,6,STAGECOACH ESTATES,9562,439956,2003,,,,Sold,,,https://www.redfin.com/UT/Park-City/9867-Kimball-Canyon-Rd-84098/home/145295153,WFRMLS,2013190,N,Y,40.7720187,-111.5285321,
PAST SALE,11/20/2024,Single Family Residential,2599 Enclave Ln,Park City,UT,84098,,5,6.5,ENCLAVE AT SUN CANYO,6026,3484,2017,,,,Sold,,,https://www.redfin.com/UT/Park-City/2599-Enclave-Ln-84098/home/81037302,WFRMLS,2000907,N,Y,40.7002129,-111.560148,
PAST SALE,11/21/2024,Single Family Residential,2175 Evening Star Dr,Park City,UT,84060,,5,3.5,PARK MEADOWS SUBDIVISION,4036,13503,1999,,,,Sold,,,https://www.redfin.com/UT/Park-City/2175-Evening-Star-Dr-84060/home/86375904,WFRMLS,2019459,N,Y,40.6738324,-111.4940451,
PAST SALE,11/22/2024,Single Family Residential,7088 Golden Bear Loop W,Park City,UT,84098,,3,3.5,VILLAS AT PAINTED VALLEY,2791,26136,2021,,,,Sold,,,https://www.redfin.com/UT/Park-City/7088-Golden-Bear-Loop-W-84098/home/175563806,WFRMLS,2027885,N,Y,40.7330855,-111.4381574,
PAST SALE,11/22/2024,Single Family Residential,2274 Morning Star Dr,Park City,UT,84060,,6,6,THAYNES CANYON,7100,100188,2007,,,,Sold,,,https://www.redfin.com/UT/Park-City/2274-Morning-Star-Dr-84060/home/91870592,WFRMLS,2031144,N,Y,40.6660001,-111.5238667,
PAST SALE,11/22/2024,Single Family Residential,7818 Gallery Dr,Park City,UT,84098,4750000,4,4.5,The Gallery,4090,31798,2023,,1161,525,Sold,,,https://www.redfin.com/UT/Park-City/7818-Gallery-Dr-84098/home/148230134,PCMLS,12300028,N,Y,40.7444645,-111.4483524,
PAST SALE,11/22/2024,Single Family Residential,7818 Gallery Dr #7,Park City,UT,84098,,4,4.5,THE GALLERY,4090,31798,2023,,,,Sold,,,https://www.redfin.com/UT/Park-City/7818-Gallery-DR-Unknown/unit-7/home/183677768,WFRMLS,1856629,N,Y,40.6460622,-111.4979729,
PAST SALE,11/22/2024,Single Family Residential,977 W Deer Hill Rd,Park City,UT,84098,,4,6,PRESERVE PHASE 2 SUBDIVISION,6422,436035,2017,,,,Sold,,,https://www.redfin.com/UT/Park-City/977-W-Deer-Hill-Rd-84098/home/86378520,WFRMLS,2004588,N,Y,40.7593106,-111.5265499,
PAST SALE,11/22/2024,Single Family Residential,7339 Pine Ridge Dr,Park City,UT,84098,,6,4.5,PINERIDGE,5073,29620,1998,,,,Sold,,,https://www.redfin.com/UT/Park-City/7339-Pine-Ridge-Dr-84098/home/91867955,WFRMLS,2005555,N,Y,40.7391455,-111.5952257,
PAST SALE,11/22/2024,Single Family Residential,165 W Goshawk Ridge Rd,Park City,UT,84098,5900000,4,4.5,Goshawk Ranch,6439,604613,2006,,916,433,Sold,,,https://www.redfin.com/UT/Park-City/165-Goshawk-Ridge-Rd-84098/home/91880282,PCMLS,12400753,N,Y,40.762226,-111.5153722,